site_id,lat,lon,pft,cluster,dist_to_centroid
1413,34.40541,-118.83638,annual crop,26,0
500518,37.68732,-120.91296,annual crop,5026,0.4901710651022793
324302,34.22418,-119.11555,annual crop,4504,0.5727753653373785
564525,39.60115,-120.35091,annual crop,2621,0.7218585817155961
1421,32.76558,-114.56732,annual crop,279,1.0260838536677475
63115,39.14943,-121.4906,annual crop,760,0.9413020758613263
271690,37.27842,-120.61915,annual crop,4461,0.7180224410949941
322730,36.39247,-121.26445,annual crop,4278,0.5104041038025598
33393,33.02106,-115.55908,annual crop,2053,0.5646144246082229
1462,38.4973,-121.16847,annual crop,4441,1.018656261382699
547850,38.57228,-121.81913,annual crop,1909,1.0161173663634946
464460,41.73626,-120.39517,annual crop,4382,0.6857136475441115
359524,35.34745,-119.21977,annual crop,2478,0
453116,39.31926,-121.13201,annual crop,4758,1.3908431175678844
35237,41.35203,-122.8198,annual crop,3966,0
362611,34.8815,-116.70187,annual crop,1947,1.1661216152154297
319841,32.73757,-114.64702,annual crop,1875,1.0375060322542562
473844,36.28154,-119.42586,annual crop,111,0.6316235234434376
52121,38.56651,-121.82385,annual crop,2511,0.9282137847172972
259153,41.66445,-120.38023,annual crop,4146,0.9839579014526757
98878,33.28316,-117.06439,annual crop,681,0.8233355697426812
23005,39.61735,-123.18185,annual crop,2702,0.7078079056489875
155763,36.84419,-120.69489,annual crop,2684,1.1592864358594104
218463,39.46756,-122.20851,annual crop,4848,0.4549782660320871
380783,37.82329,-120.81732,annual crop,563,0.6619523858630014
191489,36.60462,-121.59397,annual crop,1180,0.4799537807727603
102731,36.77674,-121.77683,annual crop,942,0.6912838622659808
80050,34.85878,-120.26301,annual crop,5102,0.9475923267928336
423953,36.65998,-121.55013,annual crop,3452,0.712695662724997
153005,36.38896,-121.30821,annual crop,4744,0.5068713721790119
512027,34.76069,-120.40186,annual crop,4537,1.0433032365960568
63301,35.19239,-119.08778,annual crop,3419,0.8192944659601801
146962,37.42367,-120.74082,annual crop,2751,0.3728747333577104
253287,36.34887,-121.22771,annual crop,3299,0.6644098176333605
1531,37.31809,-120.6659,annual crop,2147,1.0112393390637031
300825,36.70888,-119.8618,annual crop,1949,0.6434949830776757
579937,39.05488,-121.4554,annual crop,1457,0.5088165815208975
1540,33.44304,-114.67133,annual crop,1723,0
310484,37.38367,-120.70644,annual crop,800,1.0052768992671182
107712,36.40626,-119.30891,annual crop,3350,1.1707263318335817
532381,36.36535,-119.80755,annual crop,4572,0
472383,35.11098,-118.86162,annual crop,2163,0.8103798782287929
66341,32.92109,-115.64311,annual crop,2638,0.8490833987739318
473104,32.74438,-114.61715,annual crop,5153,1.2592992732536998
10257,36.14644,-119.47889,annual crop,4781,1.0517947219332822
125030,36.67889,-119.93894,annual crop,71,0.9529872734964198
18435,36.31729,-119.36111,annual crop,606,0.9107098962510702
555812,38.93656,-121.48977,annual crop,1963,0.47108795125802205
444551,36.34157,-121.22032,annual crop,2074,0
498119,38.31697,-121.56432,annual crop,4447,0.8350633033789541
151190,39.09074,-121.92226,annual crop,1780,0.8332315020315401
212280,38.46287,-121.90712,annual crop,162,0.8729016349013657
255210,36.89267,-121.77738,annual crop,2756,0.5885817711647118
363280,36.15201,-119.50524,annual crop,4230,0
259003,41.96325,-121.35186,annual crop,1592,1.2503621681955017
521258,40.02355,-122.08963,annual crop,1,0.7301433470866757
275797,41.63372,-120.20677,annual crop,42,0.640958790866931
579768,36.60314,-121.57907,annual crop,144,0.3040084096354244
133382,33.24254,-117.18239,annual crop,1307,0
492328,41.45562,-122.37637,annual crop,2307,0.43120235205436486
